FolderSpeciesName,Kingdom,Class,Order,Family,Genus,Species,ScientificName,CommonName,Category
Unidentified fruit_bat,Animalia,Mammalia,Chiroptera,NA,NA,NA,Chiroptera spp.,Bats spp.,1
Clamator coromandus,Animalia,Aves,Cuculiformes,Cuculidae,Clamator,coromandus,Clamator coromandus,Chestnut-winged cuckoo,1
Columba livia,Animalia,Aves,Columbiformes,Columbidae,Columba,livia,Columba livia,Rock dove,1
Copsychus saularis,Animalia,Aves,Passeriformes,Muscicapidae,Copsychus,saularis,Copsychus saularis,Oriental magpie-robin,1
Cynopterus sp.,Animalia,Mammalia,Chiroptera,Pteropodidae,Cynopterus,NA,Cynopterus sp.,Cynopterus spp.,1
Cyornis brunneatus,Animalia,Aves,Passeriformes,Muscicapidae,Cyornis,brunneatus,Cyornis brunneatus,Brown-chested jungle flycatcher,1
Dendrelaphis pictus,Animalia,Reptilia,Squamata,Colubridae,Dendrelaphis,pictus,Dendrelaphis pictus,Painted bronzeback,1
Dicrurus paradiseus,Animalia,Aves,Passeriformes,Dicruridae,Dicrurus,paradiseus,Dicrurus paradiseus,Greater racket-tailed drongo,1
DInopium javanese,Animalia,Aves,Piciformes,Picidae,Dinopium,javanese,Dinopium javanese,Common flameback,1
Dinopium javanese,Animalia,Aves,Piciformes,Picidae,Dinopium,javanese,Dinopium javanese,Common flameback,1
Eudynamys scolopaceus,Animalia,Aves,Cuculiformes,Cuculidae,Eudynamys,scolopaceus,Eudynamys scolopaceus,Asian koel,1
Eutropis fasciata,Animalia,Reptilia,Squamata,Scincidae,Eutropis,multifasciata,Eutropis multifasciata,Common sun skink,1
Eutropis multifascata,Animalia,Reptilia,Squamata,Scincidae,Eutropis,multifasciata,Eutropis multifasciata,Common sun skink,1
Eutropis multifasciata,Animalia,Reptilia,Squamata,Scincidae,Eutropis,multifasciata,Eutropis multifasciata,Common sun skink,1
Eutropis multifasciatus,Animalia,Reptilia,Squamata,Scincidae,Eutropis,multifasciata,Eutropis multifasciata,Common sun skink,1
Felis catus,Animalia,Mammalia,Carnivora,Felidae,Felis,catus,Felis catus,Domestic cat,1
Galllus gallus,Animalia,Aves,Galliformes,Phasianidae,Gallus,gallus,Gallus gallus,Red junglefowl,1
Gallus gallus,Animalia,Aves,Galliformes,Phasianidae,Gallus,gallus,Gallus gallus,Red junglefowl,1
Garrulax leucolophus,Animalia,Aves,Passeriformes,Leiothrichidae,Garrulax,leucolophus,Garrulax leucolophus,White-crested laughingthrush,1
Geokichla citrina,Animalia,Aves,Passeriformes,Turdidae,Geokichla,citrina,Geokichla citrina,Orange-headed thrush,1
Geopelia striata,Animalia,Aves,Columbiformes,Columbidae,Geopelia,striata,Geopelia striata,Zebra dove,1
